and;i, a
to;do, żeby
in;w
is;jest
you;ty, ciebie, tobą
that;ten, że, który
it;to, ono
he;on
was;był/była, byłem/byłam
for;dla, za, na
on;na, przy, u
are;są, jesteś
as;jako, jak, tak
with;z
his;jego
they;oni, ci
I;ja
at;na, w
be;być, bądź
this;ten, to, tym
have;mieć
from;od, z
or;albo, lub
one;jeden
had;czas przeszły od mieć
by;przez, według, po
where;gdzie
but;ale, oprócz
not;nie
what;co, jaki
all;wszystko, wszyscy, cały
were;byli/były, byliśmy/byłyśmy
we;my
when;kiedy
your;twój, wasz, twoje
can;móc
said;czas przeszły od powiedzieć
there;tam
use;używać
each;każdy
which;który/która
she;ona
do;robić, zrobić
how;jak
their;ich
if;jeśli, gdyby
will;być w czasie przyszłym, wola, życzyć sobie
up;w górę, do góry, wyżej
other;inny, inaczej
about;o, około
out;na zewnątrz, zewnętrzny
many;wiele
then;potem, następnie, wtedy
them;im, ich, nich
these;te, ci
so;więc, żeby, tak
some;trochę, kilka, niektóre
her;jej, ją
would;tryb przypuszczający np. zrobiłby/zrobiłaby
make;robić, zrobić, zarobić
like;jak, lubić
him;jego, jemu, niego
into;w
time;czas, raz
has;ma
look;patrzeć, spojrzenie
two;dwa
more;więcej, bardziej
here;tutaj
go;iść, jechać
see;widzieć, zobacz
why;dlaczego
no;nie, żaden
way;droga, sposób
could;mógł/mogła, mógłby/mogłaby
people;ludzie
my;mój
than;niż
first;pierwszy, najpierw
yes;tak
been;był/była, został
call;dzwonić, nazywać
who;kto, który, którzy
of;nie tłumaczy się lub oznacza z, o
it's;to jest, ono jest
now;teraz
find;znajdować
long;długi, długo
down;w dół
day;dzień
did;czas przeszły od robić
get;dostawać, otrzymywać, kupować
come;przyjść, przyjechać
always;zawsze
may;móc (maj, jeśli dużą literą)
part;część, rozłączać
over;ponad, nad czymś
new;nowy
best;najlepszy, najlepiej
take;wziąć, brać
only;tylko, jedyny
little;mało, mały, trochę
work;praca, pracować
know;wiedzieć, znać
place;miejsce, umieszczać
year;rok
signature;podpis
live;żyć, mieszkać
me;mnie, mi
back;z powrotem, plecy, tył
give;dawać
most;najwięcej, najbardziej, większość
very;bardzo
after;potem, za
thing;rzecz
our;nasz
just;tylko, właśnie
name;imię, nazwać
good;dobry, dobro
purchase;zakup, kupić
man;człowiek, mężczyzna
think;myśleć
say;mówić, powiedzieć
great;wielki, świetny
word;słowo
help;pomoc, pomagać
through;przez, na wylot
much;wiele
before;zanim, przed
tip;napiwek, wskazówka, wierzchołek
right;prawa strona, prawo do czegoś, słuszny
too;za, zbyt, także
mean;znaczyć, mieć na myśli, złośliwy
old;stary
any;dowolny, wszelki
same;taki sam, tak samo
tell;powiedzieć
boy;chłopiec, chłopak
follow;śledzić, być zwolennikiem, następować po
came;czas przeszły od przychodzić
want;chcieć
show;pokaz, pokazać
also;też, ponadto
around;dookoła, około
form;kształt, formularz, kształtować
three;trzy
small;mały
set;ustawiać
put;włożyć, położyć
end;koniec, kończyć
does;robi
another;kolejny, inny
well;dobrze
large;duży
must;musieć
food;jedzenie
even;nawet, aż
such;taki
because;dlatego, bo
turn;obracać, zakręt, czyjaś kolej
write;pisać
number;numer, ilość
ask;pytać, prosić
went;czas przeszły od iść
men;mężczyźni
read;czytać
need;potrzeba, potrzebować
health;zdrowie
different;inny
home;dom
us;nam, nas
move;ruszać się, ruch
try;próba, próbować
kind;rodzaj, uprzejmy
hand;dłoń, ręka
picture;obraz, rysunek
again;znowu
change;zmiana, zmieniać
off;wyłączony, poza, od
play;grać, sztuka teatralna
spell;literować, zaklęcie
air;powietrze, atmosfera
away;poza, z dala, nieobecny
animal;zwierzę
house;dom, izba parlamentu
point;punkt, wskazywać
page;strona
letter;list, litera
mother;matka
answer;odpowiedź, odpowiadać
found;zakładać, znaleziony, odkrył/odkryła
study;studiować, badanie naukowe
still;wciąż, jeszcze
learn;uczyć się, dowiedzieć się o czymś
should;powinien, powinna
timetable;rozkład jazdy
world;świat
high;wysoko, wysoki
every;każdy
near;blisko
add;dodawać
big;duży
between;pomiędzy
own;posiadać, własny
below;pod, poniżej
country;kraj, ludowy
plant;roślina, sadzić
last;ostatni
school;szkoła
father;ojciec
keep;zachować coś, dotrzymać
tree;drzewo
never;nigdy
bottle;butelka
city;miasto
conversation;rozmowa
eye;oko
light;światło, jasny, lekki
thought;myśl, czas przeszły od myśleć, sądzić
head;głowa, naczelnik
under;pod
smoke;palić, dym
saw;zobaczył/zobaczyła, piła, piłować
left;lewa strona, zostawić/opuścić w czasie
don't;nie (robić czegoś), nie (zrobić czegoś)
few;niewiele, nieliczni
while;podczas gdy, jakiś czas, chwila
along;wzdłuż, wraz
might;mógłby/mogłaby
close;blisko, zamknąć
something;coś
seem;wyglądać na, mieć wrażenie, wydać się
next;następny
hard;trudny, twardy, ciężko
open;otwierać, otwarty
example;przykład
begin;zacząć
life;życie
permission;pozwolenie
those;tamci, tamte
paper;papier, gazeta
together;razem
got;otrzymał/otrzymała, doszedł/doszła
group;grupa
often;często
run;bieg, biegać, prowadzić
important;ważny
until;dopóki, do
children;dzieci
side;strona, bok
feet;stopy
car;samochód
mile;mila
night;noc
walk;spacer, spacerować, iść na piechotę
white;biały, biel
sea;morze
began;zaczęty, zaczął się
grow;rosnąć
took;wziął
river;rzeka
four;cztery, czwórka
carry;nieść
state;stan, oświadczać, państwo
once;jeden raz, kiedy
book;książka, zarezerwować
hear;słyszeć
stop;zatrzymać, przestać
without;bez
second;sekunda, drugi
later;później, potem
miss;chybić, tęsknić, miss
idea;pomysł, idea, pojęcie
enough;dość, wystarczająco
eat;jeść
face;twarz
watch;oglądać, zegarek, pilnować
far;daleko
really;naprawdę
almost;prawie
let;pozwalać, pozwól
above;ponad
girl;dziewczyna, dziewczynka
sometimes;czasami
hurry;śpieszyć się
cut;ciąć, cięcie, pokaleczony
young;młody
talk;rozmowa, mówić
soon;wkrótce
list;lista, wylistować
song;piosenka
being;będąc, byt, istnienie
leave;opuszczać, pozostawiać
family;rodzina
body;ciało
basic;podstawowy
color;kolor, pokolorować
stand;stać, pozycja
sun;słońce
questions;pytania
fish;ryba, łowić
area;teren, obszar, rejon
anyone;każdy, ktokolwiek
dog;pies
beer;piwo
afternoon;popołudnie
busy;zajęty
complete;kompletny, zakończyć
room;pokój, miejsce
knew;czas przeszły od wiedzieć
since;od
ever;kiedykolwiek
piece;kawałek, część
told;czas przeszły od powiedzieć
usually;zazwyczaj
didn't;nie (zrobić czegoś w przeszłości)
friends;przyjaciele
easy;łatwo, łatwy
heard;usłyszał/usłyszała
order;porządek, zamówienie, zamawiać
red;czerwony
door;drzwi, brama
sure;pewny, jasne!
become;zostać, stawać się
top;szczyt, góra (strony), najlepszy
ship;statek, wysyłać
across;przez, w poprzek
today;dzisiaj
during;podczas
short;krótki
better;lepszy, lepiej
sound;dźwięk, brzmieć
however;jednakże
low;niski, nisko
hours;godziny
black;czarny, ciemny
soup;zupa
happened;zdarzył się
whole;cały, całość, ogół
measure;sposób, miara, mierzyć
remember;pamiętać, pamiętaj
early;wczesny, wcześnie
tired;zmęczony
attention;uwaga
listen;słuchać, posłuchaj
parents;rodzice
opportunity;okazja
stupid;głupi
custom;obyczaj, niestandardowy
fast;szybki, szybko
several;kilka
potatoes;ziemniaki
himself;sam, siebie, sobie
toward;w stronę, w kierunku do
five;pięć, piątka
step;krok, kroczyć
morning;rano, poranek
accident;przypadek, wypadek
true;prawdziwy
hundred;sto, setka
against;przeciwko, wbrew, w stosunku do
table;stół, tabela
north;północ
slowly;powoli
money;pieniądze
newspaper;gazeta
challenge;wyzwanie
pulled;pociągnął/pociągnęła
vegetables;warzywa
voice;głos
seen;czas przeszły od widzieć
cold;zimny, zimno, przeziębienie
spoon;łyżka
exit;wyjście
notice;zauważyć, powiadomienie
south;południe
sing;śpiewać
war;wojna
ground;ziemia
fall;upadek, padać, spadać
forgot;czas przeszły od zapominać
town;miasto
ticket;bilet, mandat
discount;rabat, zniżka
shower;prysznic
certain;pewny, przekonany
field;pole, dziedzina
travel;podróż, podróżować
wood;drewno
fire;ogień, strzelać, wylać z pracy
upon;na, przy
done;zrobione, gotowy
entertainment;rozrywka
road;droga, szosa
ten;dziesięć, dziesięcioro
fly;latać, lecieć, mucha
gave;czas przeszły od dać
box;pudełko, skrzynia, boks
finally;wreszcie, w końcu
wait;czekać, poczekać
correct;poprawny, poprawiać
quickly;szybko
person;osoba
became;został/została, stał się/stała się
shown;pokazać w czasie przeszłym
minutes;minuty
strong;silny, mocny
stars;gwiazdy
airport;lotnisko
feel;czuć, poczuć
false;fałszywy
website;strona internetowa
street;ulica
decided;zdecydowany, postanowił
contain;zawierać
course;kierunek, kurs
hungry;głodny
waiter;kelner
building;budynek, budując, budowanie
bathroom;łazienka
class;klasa, lekcja
note;notka, notować
nothing;nic, drobiazg
rest;reszta, odpoczynek, odpoczywać
carefully;dokładnie, uważnie
anger;gniew
inside;wewnątrz
foreign;zagraniczny, obcy
stay;zostać, pobyt
green;zielony
known;znany, wiadomy
island;wyspa
week;tydzień
less;mniej
goal;cel, gol
base;podstawa, baza
ago;temu
stood;stał/stała
plane;samolot
nobody;nikt
behind;za, z tyłu, za siebie
ran;czas przeszły od biec
round;okrągły, runda, dookoła
boat;łódka
game;gra, mecz
force;siła, zmusić
brought;przyniósł, przyniesiony
understand;rozumieć
warm;ciepły, rozgrzać
common;wspólny, powszechny
bring;przynieść, przywieźć
explain;tłumaczyć, wytłumaczyć
dry;suchy, suszyć
though;chociaż, aczkolwiek
language;język
tight;ciasny
deep;głęboki
thousands;tysiące
water;woda
clear;klarowny, czysty, jasne
yet;już, jeszcze, ale
government;rząd
filled;zapełniony, pełen
heat;ciepło, grzać
full;pełny, syty
hot;gorąco
check;sprawdzić, rachunek
safety;bezpieczeństwo
am;jestem
rule;zasada, przepis, rządzić
among;wśród, między
power;moc, siła
cannot;nie móc
able;zdolny, utalentowany, zdatny
six;sześć, szóstka
size;rozmiar, miara
dark;mrok, ciemny
ball;piłka, kula
honest;uczciwy
downtown;śródmieście
heavy;ciężki
fine;fajnie, niezły, grzywna
pair;para (np. spodni)
circle;koło, kołować
include;zawierać, obejmować, uwzględniać
built;zbudowany
can't;nie móc
luggage;bagaż
square;kwadrat, plac
perhaps;być może, może
bill;rachunek, ustawa
felt;czuł/czuła
suddenly;nagle
rent;wynajmować, czynsz
direction;kierunek
argument;kłótnia, argument
damage;uszkadzać, uszkodzenie
ready;gotowy
anything;cokolwiek
divided;podzielony
general;ogólny, generał
jobs;miejsca pracy
subject;temat, obiekt
groceries;artykuły spożywcze
guide;przewodnik, prowadzić
valid;ważny, obowiązujący
return;powrót, wracać
believe;wierzyć
dance;taniec, tańczyć
members;członkowie
picked;wybrany, doborowy
simple;łatwy, prosty
paint;farba, malować
mind;umysł
love;miłość, kochać
cause;powód, spowodować
rain;deszcz, pada deszcz
exercise;ćwiczenie, gimnastykować się
eggs;jajka
train;pociąg, trenować
blue;niebieski, błękit
wish;życzenie, życzyć sobie
drop;upuścić, kapać, kropla
developed;rozwinięty, rozbudowany
window;okno
difference;różnica
smoked;wędzony
heart;serce
sit;siedzieć
sum;suma, dodawać, podsumować
summer;lato
wall;ściana
forest;las
probably;prawdopodobnie
legs;nogi
bridge;most
main;główny, centralny, najważniejszy
winter;zima
wide;szeroki, szeroko
written;napisany
length;długość
reason;powód, przyczyna
kept;przechowywane, kontynuowane
interest;zainteresowanie, interesować się, odsetki
arms;ramiona, broń, uzbraja
brother;brat
mobile;przenośny, telefon komórkowy
apply;zastosować, zgłosić się
beautiful;piękny, wspaniały
store;sklep, magazynować
job;praca, zadanie
edge;krawędź
past;przeszłość, po, obok
sign;znak, podpisać
record;(rzeczownik) zapis, ewidencja
record;(czasownik) zapisać, nagrać
finished;gotowy, zakończony
discovered;wynaleziony, odkryty
photo;zdjęcie
happy;szczęśliwy, zadowolony
beside;obok, ponadto
gone;poszedł, nieobecny
sky;niebo
glass;szkło, szklanka, szyba
invoice;faktura
west;zachód
lay;kłaść
weather;pogoda
sold;sprzedany
fever;gorączka
meet;spotkać się
third;trzeci
months;miesiące
apologize;przepraszać
raised;podniesiony
double;podwójny
soft;miękki, delikatny
whether;czy
clothes;ubranie, odzież
flowers;kwiaty
shall;będzie
teacher;nauczyciel
held;czas przeszły od trzymać
describe;opisać, przedstawiać
drive;prowadzić (np. samochód), zapał
cross;krzyż, skrzyżowanie, krzyżować
speak;mówić, przemawiać
appear;zjawiać się, wystąpić, wychodzić na jaw
painful;bolesny
son;syn
either;też, bądź, którykolwiek
ice;lód
sleep;sen, spać
village;wieś
factors;czynniki
cooperation;współpraca
jumped;skoczył/skoczyła
snow;śnieg, padać (o śniegu)
ride;przejażdżka, jeździć (konno, na rowerze
care;troszczyć się, troska
floor;podłoga, piętro
hill;wzgórze
pushed;popchnięty/popchnięta,
baby;dziecko, niemowlę
buy;kupić, kup
stairs;schody
outside;na zewnątrz
everything;wszystko
tall;wysoki
already;już
instead;zamiast
phrase;fraza, wyrażenie, zwrot
translate;przetłumaczyć
bed;łóżko
copy;kopia, kopiować
free;bezpłatny, wolny, uwalniać
hope;nadzieja, mieć nadzieję
temporary;tymczasowy
case;przypadek, sprawa
laughed;czas przeszły od śmiać się
nation;naród, nacja
quite;całkiem, zupełnie
type;typ, pisać na klawiaturze
themselves;sami siebie
platform;peron
bright;jasny, błyskotliwy
thirsty;spragniony
lead;prowadzić, przewodzić, przewaga
everyone;każdy, wszyscy
gate;brama, punkt odpraw na lotnisku
bath;kąpiel
lake;jezioro
within;wewnątrz
dictionary;słownik
hair;włosy
age;wiek, starzeć się, epoka
amount;kwota, ilość
fridge;lodówka
pounds;funty
although;chociaż
per;na, za
broken;złamany, rozbity
wind;wiatr
tiny;drobny, malutki
possible;możliwy, dopuszczalny
gold;złoto, złoty
milk;mleko
quiet;cisza, cicho!
confirmation;potwierdzenie
lot;dużo
wet;mokry
alike;podobnie
build;budować, tworzyć
middle;środek, połowa
speed;prędkość, pędzić
count;liczyć
cat;kot
someone;ktoś
message;wiadomość
dish;danie
bear;niedźwiedź, znieść
wonder;zastanawiać się
smiled;czas przeszły od uśmiechać się
angle;kąt
occupation;profesja, zawód, okupacja
missing;brakujący, zaginiony
killed;zabity
therefore;zatem, dlatego
trip;wycieczka
hole;dziura, otwór
poor;biedny, kiepski
let's;zróbmy coś, niech coś się stanie
fight;walka, walczyć
surprise;niespodzianka, zaskoczyć
towel;ręcznik
died;zmarły, zmarł
beat;rytm, uderzenie, bić
exactly;dokładnie
remain;pozostawać
dress;sukienka, strój, ubierać się
forecast;prognoza
couldn't;nie mógł/nie mogła, nie mógłby/nie
fingers;palce
row;rząd (np. w kinie), wiosłować
catch;łapać
climbed;wspiął się/wspięła się
wrote;napisał/napisała
shouted;krzyknął/krzyknęła
continued;nadal, nieprzerwany, kontynuował
itself;sobie, samo siebie
else;w przeciwnym razie, inaczej, jeszcze
education;wykształcenie, edukacja
gas;gaz, benzyna
achieve;osiągać
account;konto
access;dostęp
joined;dołączył/dołączyła
foot;stopa
law;prawo
ears;uszy
grass;trawa
you're;jesteś
beyond;poza
skin;skóra
employee;pracownik
average;średni, przeciętny, średnia
key;klucz, kluczowy
select;wybierać
brown;brązowy, brąz
trouble;kłopot, sprawiać kłopot
cool;ochłodzenie, ochładzać się, bombowy!
cloud;chmura
lost;zagubiony, stracony, przegrany
sent;wysłany
evaluate;ocenić
wear;nosić, ubierać się
bad;zły, niedobry
save;zapisać, uratować, zaoszczędzić
mistake;błąd, pomyłka
pension;emerytura
alone;sam
luck;fart, szczęście
east;wschód, na wschodzie
pay;wynagrodzenie, zapłacić
meal;posiłek
touch;dotknąć, dotknięcie
hangover;kac
express;wyrazić, pociąg ekspresowy
mouth;usta
equal;równy
yourself;siebie, się, sobie
evidence;dowód
weird;dziwaczny
report;zawiadamiać (np. policję), raport
straight;prosty, prosto
rise;rosnąć, wzrost
statement;oświadczenie
stick;przyklejać, kij
party;impreza, partia
waste;marnotrawstwo, marnować, odpadki
protect;zabezpieczać, ochraniać
woman;kobieta
coast;wybrzeże, brzeg
October;październik, październikowy
period;okres, odcinek
noise;hałas
choose;wybierać
clean;czysty, czyścić
visit;wizyta, odwiedzać
bit;odrobina, odłamek
whose;czyj
received;otrzymany, przyjęty, otrzymał
garden;ogród, uprawiać ogród
please;proszę, dogadzać, sprawiać komuś
strange;dziwny, obcy
caught;złapał, złapany/złapana
fell;spadł/spadła, upadł/upadła
team;drużyna, zespół
God;Bóg
anyway;a poza tym, tak czy owak
direct;bezpośredni, kierować
pants;spodnie
serve;służyć
child;dziecko
recognise;rozpoznać
increase;wzrost, wzrastać
independently;samodzielnie
cost;koszt, cena, kosztować
maybe;może, być może
relationship;związek, relacja
date;randka, data
separate;oddzielać
bread;chleb, pieczywo
uncle;wuj, wujek
bike;rower
flow;przepływ, wlać się, wypłynąć
lady;pani, dama
debt;dług
human;człowiek
art;sztuka, rzemiosło
feeling;uczucie, czuć
supply;dostawa, dostarczać
corner;róg, kąt
predict;przewidzieć
unemployment;bezrobocie
brave;odważny
views;widoki, poglądy
advertisment;reklama
wallet;portfel, portmonetka
cash;gotówka
provide;dostarczać, zapewniać
won't;nie być - w czasie przyszłym
insurance;ubezpieczenie
exchange;wymiana
board;deska, tablica, komisja
modern;nowoczesny, współczesny
complain;narzekać
mine;mój
wasn't;nie był/nie była
fit;pasować, sprawny fizycznie
addition;dodatek, doliczenie
belong;należeć, dotyczyć
safe;bezpieczny
November;listopad
guess;zgadnąć, domyślać się, przypuszczenie
silent;cichy, milczący
trade;handel, zawód, handlować
rather;raczej
compare;porównać, zestawić
crowd;tłum
stomach;brzuch, żołądek
enjoy;cieszyć się, lubić, podobać się
password;hasło (np. do logowania)
indicate;wskazać, wykazać, oznaczać
except;z wyjątkiem, oprócz, poza
expect;spodziewać się, oczekiwać, być w ciąży
flat;mieszkanie, płaski, płasko
seven;siedem, siódma
sense;sens, zmysł, wyczuć
December;grudzień
blow;cios, wiać, zadąć
famous;sławny
value;wartość, cenić, doceniać
denied;zaprzeczył, dostęp zastrzeżony
movement;ruch
exciting;ekscytujący, podniecający
branches;gałęzie, oddziały
thick;gruby, gęsty
blood;krew
lie;leżeć, kłamać, kłamstwo
spot;miejsce, spostrzegać
risk;ryzyko, ryzykować
fun;zabawa, uciecha, ubaw
loud;głośny, głośno
consider;rozważać, przemyśleć, uznać za coś
suggested;sugerowany
thin;cienki, chudy
position;stanowisko, pozycja, ustawiać
entered;wszedł/weszła, wkroczył/wkroczyła
fruit;owoc
tied;uwiązany, zawiązany
rich;bogaty
guilty;winny
send;wysłać
sight;widok, wzrok
charger;ładowarka
knife;nóż
socks;skarpety
plants;rośliny
eight;osiem, ósma
major;major, główny, poważny (o zagadnieniu)
avoid;unikać
necessary;potrzebny
weight;ciężar, waga
meat;mięso
cinema;kino
process;przetwarzać, proces
January;styczeń
ski;narty, jeździć na nartach
property;własność, majątek, dobytek
particular;szczególny
swim;pływać
terms;warunki
current;aktualny, bieżący
park;park, parkować
sell;sprzedawać
shoulder;ramię
industry;przemysł
wash;myć
block;blok, zablokowanie, blokować
queue;kolejka
wife;żona
sharp;ostry
company;firma, spółka
price;cena
we'll;będziemy (np. coś robić)
action;działanie
capital;stolica, kapitał
factories;fabryki
manage;zarządzać, poradzić sobie
yellow;żółty
isn't;nie jest
southern;południowy
truck;ciężarówka
printed;wydrukowany
wouldn't;nie zrobiłby/nie zrobiłaby
ahead;przed, na przodzie, na czele
chance;szansa
born;urodzony, urodzona
level;poziom, piętro
cute;śliczny, słodki, milutki
repeated;powtórzony
nanny;niania
western;zachodni
church;kościół
sister;siostra
various;różne
agreed;zgodny, zgoda, uzgodniony
opposite;naprzeciwko, przeciwieństwo
wrong;błędny, źle
stress;stres, podkreślać
spring;wiosna
season;pora roku
sex;płeć, seks
September;wrzesień
Saturday;sobota
review;recenzja, przejrzeć
news;aktualności
Monday;poniedziałek
mail;poczta
joy;radość, wesołość
happiness;szczęście, pomyślność
Friday;piątek
flight;lot
dessert;deser
daughter;córka
click;kliknięcie, kliknąć
shame;wstyd
break;łamać, rozbić
browse;przeglądać
bored;znudzony/znudzona
domestic;domowy, krajowy
underline;podkreślać, uwydatniać
jealousy;zazdrość
division;podział, dział, dywizja
seat;siedzenie, posadzić
located;usytuowany
arrived;przybył/przybyła
track;ślad, śledzić, tor
conditions;warunki, otoczenie
tools;narzędzia, przybory
smell;zapach, węch, powonienie
truth;prawda
society;społeczeństwo, towarzystwo
entire;cały
details;szczegóły
apple;jabłko
benefits;korzyści
evening;wieczór
determine;postanowić, zadecydować
deal;transakcja, umowa, radzić sobie
features;cechy, przedstawia, funkcje
total;kwota ogólna, łączny
doesn't;nie robi
match;mecz, dopasować, dorównać
difficult;trudny, skomplikowany
April;kwiecień
create;tworzyć, kreować
northern;północny
March;marzec
led;kierował/kierowała, prowadził/prowadziła
women;kobiety
market;rynek
forward;w przód, przesłać dalej, naprzód
huge;ogromny
office;biuro
dead;martwy, nieboszczyk
nose;nos, węszyć
especially;specjalnie, zwłaszcza
science;nauka
guy;facet
drink;pić, napój, drink
bottom;dno, dół
both;zarówno, oboje
angry;zły, gniewny
survive;przetrwać
focus;skupienie, skupiać
win;zwycięstwo, wygrać
behavior;zachowanie
workers;pracownicy, robotnicy
fear;strach
allow;pozwolić komuś na coś, dopuszczać
borrow;pożyczyć (od kogoś)
experience;doświadczenie, przeżycie, doświadczać
score;wynik, zdobyć punkty
death;śmierć
similar;podobny
kiss;pocałunek, całować
sufficient;wystarczający
sugar;cukier
afraid;przestraszony, obawiać się
actually;faktycznie, rzeczywiście
shoes;buty, obuwie
shop;sklep
fresh;świeży, wypoczęty
solution;rozwiązanie
pretty;ładny/ładna, piękny/piękna
prepared;przygotowany
wage;pensja, płaca
stuff;rzeczy, napchać
Sunday;niedziela
suppose;przypuszczać
taste;smak, smakować
tax;podatek, opodatkowywać
tea;herbata
Thursday;czwartek
translator;tłumacz
cry;płakać
exist;istnieje, istnieć
Tuesday;wtorek
